,Date,Open,High,Low,Close,Adj Close,Volume
0,2002-07-01,5.239737033843994,5.540926933288574,5.239737033843994,5.412679195404053,3.9698729515075684,21923
1,2002-07-02,5.523438930511475,5.537041187286377,5.421422958374023,5.4437689781188965,3.9926743507385254,61044
2,2002-07-03,5.505949974060059,5.545784950256348,5.328151226043701,5.466115951538086,4.0090651512146,34160
3,2002-07-04,5.501092910766602,5.572018146514893,5.417537212371826,5.528296947479248,4.054670810699463,27892
4,2002-07-05,5.563273906707764,5.656546115875244,5.474860191345215,5.59047794342041,4.100276470184326,58976
5,2002-07-08,5.501092910766602,5.718727111816406,5.501092910766602,5.625454902648926,4.125930309295654,48909
6,2002-07-09,5.59047794342041,5.758562088012695,5.568131923675537,5.616711139678955,4.1195173263549805,321846
7,2002-07-10,5.488461971282959,5.488461971282959,5.146464824676514,5.2222490310668945,3.830202579498291,138434
8,2002-07-11,4.978382110595703,5.213503837585449,4.978382110595703,5.186299800872803,3.8038365840911865,15027
9,2002-07-12,5.501092910766602,5.501092910766602,5.244595050811768,5.319406986236572,3.9014623165130615,24187
10,2002-07-15,5.324265003204346,5.479718208312988,5.191157817840576,5.333008766174316,3.91143798828125,50330
11,2002-07-16,5.199902057647705,5.438910961151123,5.199902057647705,5.315520763397217,3.8986122608184814,24928
12,2002-07-17,4.702453136444092,5.137721061706543,4.618896961212158,5.0444488525390625,3.6997971534729004,21356
13,2002-07-18,4.880251884460449,5.146464824676514,4.835558891296387,5.080398082733154,3.726163864135742,27532
14,2002-07-19,5.026960849761963,5.203789234161377,5.0221028327941895,5.151322841644287,3.7781832218170166,13380
15,2002-07-22,5.080398082733154,5.146464824676514,4.968666076660156,4.97352409362793,3.6477785110473633,21665
16,2002-07-23,4.818070888519287,5.084283828735352,4.818070888519287,5.0619378089904785,3.7126243114471436,40161
17,2002-07-24,5.058051109313965,5.128976821899414,4.937574863433838,5.0619378089904785,3.7126243114471436,34479
18,2002-07-25,5.058051109313965,5.058051109313965,4.7918381690979,4.8491621017456055,3.5565662384033203,38185
19,2002-07-26,5.146464824676514,5.146464824676514,4.729657173156738,4.8715081214904785,3.572955846786499,51760
20,2002-07-29,4.22346305847168,4.250667095184326,3.903812885284424,4.250667095184326,3.1176068782806396,17188
21,2002-07-30,4.170025825500488,4.325479030609131,4.036920070648193,4.276899814605713,3.1368470191955566,66561
22,2002-07-31,4.179741859436035,4.303133010864258,4.148651123046875,4.2108330726623535,3.088390588760376,5557
23,2002-08-01,4.250667095184326,4.516880989074707,4.250667095184326,4.4585862159729,3.2701029777526855,31134
24,2002-08-02,4.068009853363037,4.6101531982421875,4.068009853363037,4.4984211921691895,3.299319267272949,28211
25,2002-08-05,4.596549987792969,4.7918381690979,4.525625228881836,4.7918381690979,3.5145227909088135,18835
26,2002-08-06,4.627641201019287,4.68107795715332,4.627641201019287,4.64998722076416,3.4104835987091064,6690
27,2002-08-07,4.800581932067871,4.8540191650390625,4.658731937408447,4.752003192901611,3.4853060245513916,24825
28,2002-08-08,4.7918381690979,4.7918381690979,4.614038944244385,4.64998722076416,3.4104835987091064,16581
29,2002-08-09,4.658731937408447,4.702453136444092,4.574203968048096,4.702453136444092,3.4489638805389404,32421
